title,date,company,description,attachments,attachment_url,attachment_name,attachment_id
Pekerjaan Survei Seismik 3D OBN Zulu North,18 Mar 2025,SKK Migas,"Pekerjaan Survei Seismik 3D OBN Zulu North di PT Pertamina Hulu Energi Offshore North West JavaGolongan Usaha: 
								BesarJenis Pengadaan:  
								JasaBidang Usaha: 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);Jenis Pengumuman: Pelelangan UmumLebih lanjutAttachment 1Attachment 2
Golongan Usaha: Besar
Jenis Pengadaan: Jasa
Bidang Usaha: AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
Jenis Pengumuman: Pelelangan Umum","[{'url': 'https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=558c18a9-5c89-496a-a74f-98b61706a1dd&fileName=SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf', 'name': 'SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf', 'file_id': '558c18a9-5c89-496a-a74f-98b61706a1dd'}, {'url': 'https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=a873c647-89bf-48b0-a796-f5f0ba117dca&fileName=SX03048162A - Surat Pernyataan Calon Peserta Tender.pdf', 'name': 'SX03048162A - Surat Pernyataan Calon Peserta Tender.pdf', 'file_id': 'a873c647-89bf-48b0-a796-f5f0ba117dca'}]",https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=558c18a9-5c89-496a-a74f-98b61706a1dd&fileName=SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf,SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf,558c18a9-5c89-496a-a74f-98b61706a1dd
Pengadaan AC HVAC Badak dan Semberah-13 Plant,14 Mar 2025,SKK Migas,"Pengadaan AC HVAC Badak dan Semberah-13 PlantGolongan Usaha:   
								KecilJenis Pengadaan: 
								BarangBidang Usaha: 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   INDUSTRI MESIN PENDINGIN (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);Jenis Pengumuman: Pelelangan UmumLebih lanjutAttachment 1Attachment 2
Golongan Usaha: Kecil
Jenis Pengadaan: Barang
Bidang Usaha: PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);
Jenis Pengumuman: Pelelangan Umum","[{'url': 'https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=fca392b4-1ca2-4980-9b6a-25524732a0e9&fileName=C.01.05.S. Pengumuman Tender Terbuka hvac.pdf', 'name': 'C.01.05.S. Pengumuman Tender Terbuka hvac.pdf', 'file_id': 'fca392b4-1ca2-4980-9b6a-25524732a0e9'}, {'url': 'https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=73da2007-eb9b-4f08-a767-61ab633c315f&fileName=Surat Pernyataan Berminat.pdf', 'name': 'Surat Pernyataan Berminat.pdf', 'file_id': '73da2007-eb9b-4f08-a767-61ab633c315f'}]",https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=fca392b4-1ca2-4980-9b6a-25524732a0e9&fileName=C.01.05.S. Pengumuman Tender Terbuka hvac.pdf,C.01.05.S. Pengumuman Tender Terbuka hvac.pdf,fca392b4-1ca2-4980-9b6a-25524732a0e9
