ID,Tanggal,Judul,KKKS,Bidang Usaha,Batas Waktu,URL,Attachment URL,Attachment Name
,15 Apr 2025,PENYEDIAAN JASA PENGAWASAN KONSTRUKSI SURFACE FACILITY PT PERTAMINA EP ZONA 4,PERTAMINA HULU ENERGI WMO,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS KEINSINYURAN DAN KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PROFESIONAL, ILMIAH DAN TEKNIS LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,626242a2-19b4-453e-a8e4-31b64de7ea89,/download/tnd/ann.jwebs,1.pdf
,16 Apr 2025,JASA SEWA EARLY PRODUCTION FACILITIES DAN INSTALASI UNTUK WILAYAH KERJA AREA 1 PERTAMINA ZONA 4,PERTAMINA HULU ENERGI WMO,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,ac878148-da14-4acc-a7fa-72f58fd5cfd6,/download/tnd/ann.jwebs,PENGUMUMAN PRAKUALIFIKASI.pdf
,16 Apr 2025,Prakualifikasi No. GX14049172A : Pengadaan Various Electrical Parts,PT PERTAMINA HULU MAHAKAM,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,b1b112e8-1d98-4977-be56-c6f292baeac7,/download/tnd/ann.jwebs,GX14049172A - C.01.06.S. Pengumuman Prakualifikasi.pdf
,16 Apr 2025,Time Charter of High Speed Crew Boat Services,PETROCHINA INTERNATIONAL JABUNG LTD.,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   ANGKUTAN LAUT (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,96515cb9-293f-4c68-ab0d-12ac715e33fd,/download/tnd/ann.jwebs,PCJ-3815-CA PQ Invitation Announcement.pdf
,15 Apr 2025,Prakualifikasi No. GX14049454A : PENGADAAN VENT KO DRUM PUMP (PR-19201) UNTUK BKP BJ REACTIVATION,PT PERTAMINA HULU MAHAKAM,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,b76d8467-c4fa-4917-a144-810a6589c3b0,/download/tnd/ann.jwebs,FOR SIGN GX14049454A C.01.06.S. Pengumuman Prakualifikasi.pdf
,15 Apr 2025,PQ 299 - Provision of Fishing Equipment Rental and Services,PC KETAPANG II LTD,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,39b649f5-f779-467c-a9f7-8da5c8c8475a,/download/tnd/ann.jwebs,PQ Invitation_Fishing No. 299.pdf
